frame_number,track_id,cy,event
280,6,478,UPDATE
280,7,473,UPDATE
280,10,487,UPDATE
280,11,486,UPDATE
280,12,492,UPDATE
280,13,468,UPDATE
281,6,476,UPDATE
281,7,472,UPDATE
281,10,488,UPDATE
281,11,487,UPDATE
281,12,493,UPDATE
281,13,468,UPDATE
282,6,475,UPDATE
282,7,472,UPDATE
282,10,489,UPDATE
282,11,488,UPDATE
282,12,494,UPDATE
282,13,468,UPDATE
283,6,475,UPDATE
283,7,471,UPDATE
283,11,488,UPDATE
283,12,494,UPDATE
283,13,469,UPDATE
284,6,475,UPDATE
284,7,471,UPDATE
284,11,489,UPDATE
284,12,495,UPDATE
284,13,465,UPDATE
285,6,473,UPDATE
285,7,470,UPDATE
285,11,490,UPDATE
285,12,496,UPDATE
285,13,462,UPDATE
286,6,474,UPDATE
286,7,469,UPDATE
286,11,491,UPDATE
286,13,463,UPDATE
287,6,475,UPDATE
287,11,491,UPDATE
287,13,465,UPDATE
288,6,476,UPDATE
288,11,492,UPDATE
288,13,468,UPDATE
289,6,473,UPDATE
289,11,493,UPDATE
289,13,469,UPDATE
290,6,470,UPDATE
290,13,470,UPDATE
291,6,472,UPDATE
291,13,470,UPDATE
292,6,469,UPDATE
292,13,467,UPDATE
293,6,470,UPDATE
293,13,463,UPDATE
294,6,471,UPDATE
294,13,460,UPDATE
295,6,476,UPDATE
295,13,456,UPDATE
296,6,475,UPDATE
296,13,452,UPDATE
297,6,477,UPDATE
297,13,449,UPDATE
298,6,495,UPDATE
298,13,445,UPDATE
299,6,498,UPDATE
299,13,441,UPDATE
300,6,494,UPDATE
300,13,438,UPDATE
301,6,490,UPDATE
301,13,434,UPDATE
302,6,487,UPDATE
302,13,431,UPDATE
303,6,489,UPDATE
303,13,427,UPDATE
304,6,490,UPDATE
304,13,423,UPDATE
305,6,492,UPDATE
305,13,420,UPDATE
306,6,493,UPDATE
306,13,416,UPDATE
307,6,494,UPDATE
308,6,496,UPDATE
309,6,497,UPDATE
310,6,499,UPDATE
311,6,500,UPDATE
312,6,502,UPDATE
313,6,503,UPDATE
314,6,504,UPDATE
315,6,506,UPDATE
316,6,507,UPDATE
317,6,509,UPDATE
